month/day	retweet_count	favorite_count	vader compound	vader sentiment
2018-01-18	192667	852266	3.0028	positive
2018-01-19	148083	613535	1.6225999999999998	positive
2018-01-20	311477	1259519	2.6806	positive
2018-01-21	71567	305991	0.7903	positive
2018-01-22	105830	469417	1.8215000000000001	positive
2018-01-23	180648	762031	4.9387	positive
2018-01-24	98190	479052	1.0900999999999996	positive
2018-01-25	49145	233806	1.476	positive
2018-01-26	105516	512832	3.372	positive
2018-01-27	160445	679765	1.8605000000000003	positive
2018-01-28	106459	440276	-0.3912	negative
2018-01-29	16431	84209	0.5994	positive
2018-01-30	22023	109076	0.29600000000000004	positive
2018-01-31	0	0	0.0	neutral
2018-02-01	124610	570653	1.8929999999999998	positive
2018-02-02	152551	558058	2.6965	positive
2018-02-03	177527	696160	0.24029999999999974	positive
2018-02-04	59190	354351	0.6437	positive
2018-02-05	185088	734036	1.4424	positive
2018-02-06	189593	855663	1.5135	positive
2018-02-07	111251	496430	3.7236000000000002	positive
2018-02-08	155823	629610	3.9487	positive
2018-02-09	76930	330946	1.1461999999999999	positive
2018-02-10	245423	925283	-1.0425999999999997	negative
2018-02-11	95311	424127	1.6489	positive
2018-02-12	61687	294353	0.13529999999999998	positive
2018-02-13	45562	213186	1.54	positive
2018-02-14	85537	407809	0.6511	positive
2018-02-15	109988	467088	-2.051	negative
2018-02-16	103501	476696	0.4596	positive
2018-02-17	213200	852713	-2.093	negative
2018-02-18	260757	1076360	1.1928999999999998	positive
2018-02-19	94114	479494	3.1356	positive
2018-02-20	235724	1034862	4.5472	positive
2018-02-21	125332	550721	1.6288999999999998	positive
2018-02-22	248068	1106193	2.2958000000000003	positive
2018-02-23	155302	736817	4.5291	positive
2018-02-24	219125	882807	1.1818000000000002	positive
2018-02-25	0	0	0.0	neutral
2018-02-26	0	0	0.0	neutral
2018-02-27	194002	774814	5.390799999999999	positive
2018-02-28	153736	667547	3.7512	positive
2018-03-01	136655	636495	3.058	positive
2018-03-02	142036	651620	1.5655	positive
2018-03-03	104398	424324	0.9942	positive
2018-03-04	46562	219965	0.3232	positive
2018-03-05	124007	497684	2.3480999999999996	positive
2018-03-06	187677	771861	0.40990000000000004	positive
2018-03-07	82317	350519	0.3962	positive
2018-03-08	106828	468999	4.1798	positive
2018-03-09	87664	384355	2.699	positive
2018-03-10	178339	810311	4.4391	positive
2018-03-11	108660	453598	2.0861	positive
2018-03-12	134484	571778	2.293	positive
2018-03-13	192342	747870	2.6164	positive
2018-03-14	124298	571624	2.315	positive
2018-03-15	91648	456085	3.1827	positive
2018-03-16	52852	252472	2.0304	positive
2018-03-17	165864	623113	0.39670000000000005	positive
2018-03-18	92554	358522	0.6436	positive
2018-03-19	54789	260349	1.1322	positive
2018-03-20	33993	140902	0.4767	positive
2018-03-21	175256	775057	1.9046	positive
2018-03-22	146923	566724	2.0388	positive
2018-03-23	120938	507029	-1.2205	negative
2018-03-24	15760	83062	-0.9643	negative
2018-03-25	149816	622234	2.8007999999999997	positive
2018-03-26	83990	406174	2.4593	positive
2018-03-27	15524	68129	-0.4019	negative
2018-03-28	223046	891753	4.723999999999999	positive
2018-03-29	95370	385470	0.6307	positive
2018-03-30	25486	88218	0.0	neutral
2018-03-31	76844	270676	-2.3595	negative
2018-04-01	132356	554641	-0.11409999999999998	negative
2018-04-02	281263	1120824	-1.042	negative
2018-04-03	157340	680959	3.0462999999999996	positive
2018-04-04	141319	594466	0.3492000000000002	positive
2018-04-05	71788	307586	0.32409999999999994	positive
2018-04-06	121353	475764	1.0379999999999998	positive
2018-04-07	157006	677496	0.8189000000000001	positive
2018-04-08	152779	623751	1.8142	positive
2018-04-09	84455	334599	2.1455	positive
2018-04-10	122665	526807	2.9966	positive
2018-04-11	234244	890182	-2.5411	negative
2018-04-12	163667	754839	5.336600000000001	positive
2018-04-13	190421	720654	-1.8891999999999998	negative
2018-04-14	74010	360888	1.8416000000000001	positive
2018-04-15	204524	871638	1.622	positive
2018-04-16	50450	210377	0.15500000000000003	positive
2018-04-17	221537	1025273	5.3313	positive
2018-04-18	161810	682821	2.9798999999999998	positive
2018-04-19	235925	968871	4.825699999999999	positive
2018-04-20	283737	1141565	1.6991	positive
2018-04-21	201565	894903	2.5959	positive
2018-04-22	176152	795471	1.8085	positive
2018-04-23	106651	453486	0.005599999999999938	positive
2018-04-24	89468	410230	4.803	positive
2018-04-25	252539	1037134	3.0677000000000003	positive
2018-04-26	34191	181648	1.7262	positive
2018-04-27	252722	1070226	2.4867	positive
2018-04-28	158940	654438	0.3862000000000001	positive
2018-04-29	124888	614931	1.7119000000000002	positive
2018-04-30	160354	710692	4.0341	positive
2018-05-01	124337	580549	3.4502000000000006	positive
2018-05-02	213842	902806	2.078500000000001	positive
2018-05-03	97264	439780	2.6266000000000003	positive
2018-05-04	256008	1157453	1.1873000000000005	positive
2018-05-05	16132	77424	0.3612	positive
2018-05-06	0	0	0.0	neutral
2018-05-07	235065	956880	-0.26419999999999977	negative
2018-05-08	123606	502823	0.6643000000000001	positive
2018-05-09	230891	1010642	2.8662	positive
2018-05-10	226518	920361	0.6382	positive
2018-05-11	96534	420211	0.3272000000000001	positive
2018-05-12	94021	390742	1.1032	positive
2018-05-13	126935	577489	0.27929999999999994	positive
2018-05-14	127457	648027	1.2684000000000002	positive
2018-05-15	121789	605932	3.4843	positive
2018-05-16	126337	602454	4.6827	positive
2018-05-17	196253	841319	5.9575000000000005	positive
2018-05-18	222108	907490	1.0214000000000003	positive
2018-05-19	78453	368704	3.4567	positive
2018-05-20	241445	892848	-2.6759000000000004	negative
2018-05-21	203820	838009	2.9149	positive
2018-05-22	94798	386626	2.4964	positive
2018-05-23	266635	1118107	1.8490000000000004	positive
2018-05-24	133724	486747	1.0867999999999998	positive
2018-05-25	0	0	0.0	neutral
2018-05-26	0	0	0.0	neutral
2018-05-27	0	0	0.0	neutral
2018-05-28	0	0	0.0	neutral
2018-05-29	0	0	0.0	neutral
2018-05-30	0	0	0.0	neutral
2018-05-31	0	0	0.0	neutral
2018-06-01	0	0	0.0	neutral
2018-06-02	0	0	0.0	neutral
2018-06-03	0	0	0.0	neutral
2018-06-04	0	0	0.0	neutral
2018-06-05	0	0	0.0	neutral
2018-06-06	0	0	0.0	neutral
2018-06-07	0	0	0.0	neutral
2018-06-08	0	0	0.0	neutral
